Jahr;Blühbeginn der Hasel;Blühbeginn der Hänge-Birke
1978;70,13471503;
1979;88,23295455;
1980;64,84699454;
1981;74,46153846;
1982;77,01098901;
1983;58,98378378;
1984;82,01010101;
1985;88,40883978;
1986;82,46153846;
1987;96,86046512;
1988;59,89893617;
1989;48,29319372;
1990;44,55778894;
1991;68,54651163;
1992;57,06857143;121,1666667
1993;49,91025641;115,4274809
1994;43,42857143;116,5373134
1995;44,3164557;117,1691176
1996;90,69736842;117,4191176
1997;59,34507042;112,9833333
1998;38,78985507;110,1705426
1999;39,41176471;110,516129
2000;46,234375;111,779661
2001;45,78899083;118,3168317
2002;38,27102804;111,6105263
2003;66,79787234;116,3
2004;47,76595745;111,7640449
2005;71,05494505;112,5764706
2006;84,625;119,0111111
2007;29,01176471;104,9382716
2008;31,09411765;113,2926829
2009;67,1547619;103,9390244
2010;77,90243902;110,2875
2011;56,91025641;104,48
2012;57,57534247;109,2236842
2013;58,55405405;117,4533333
2014;38,66666667;98,44444444
2015;46,1147541;114,1851852
2016;24,77777778;
