Jahr;Saisonalitätskoeffizient März-November;Summe der Übernachtungen;Saisonalitätskoeffizient März-November Eichsfeld;Saisonalitätskoeffizient März-November Hainich;Saisonalitätskoeffizient März-November Kyffhäuser;Saisonalitätskoeffizient März-November Saaleland;Saisonalitätskoeffizient März-November Städte Eisenach, Erfurt, Jena, Weimar;Saisonalitätskoeffizient März-November Südharz;Saisonalitätskoeffizient März-November Thüringer Rhön;Saisonalitätskoeffizient März-November Thüringer Vogtland;Saisonalitätskoeffizient März-November Thüringer Wald;Saisonalitätskoeffizient März-November Übriges Thüringen
2006;2,058549244;7007228;1,457017444;1,629873062;2,250991612;1,255817797;1,566619648;2,283275736;1,564181948;1,825212317;2,536084828;4,01445449
2007;2,140523602;7460072;1,445187302;1,574119182;2,433028965;1,387456117;1,550045263;1,81212333;1,63944058;2,268633269;2,729980231;2,795127624
2008;2,051086816;7516578;1,386178661;1,640065568;2,167741199;1,344915311;1,460395562;2,04385037;1,483633388;1,645711288;2,597357861;3,191273031
2009;2,01859627;7684746;1,404492477;1,844319366;2,493216233;1,422192705;1,437482801;2,606759486;1,470178182;1,593497758;2,443306587;3,216565665
2010;1,799232968;7666670;1,722985368;1,762776175;2,436965606;1,343106914;1,492245242;2,569340859;1,567804199;1,691872041;2,295115654;1,848696498
2011;1,95115971;7773357;1,613794549;1,859316901;2,261096147;1,448888434;1,524295286;2,102384438;1,674325416;1,485076888;2,519515644;1,869288756
2012;1,820213323;7893243;1,555112523;1,859808251;2,28620188;1,315949119;1,457203989;2,010836502;1,513988785;1,522193319;2,380800257;1,7629512
2013;1,765931303;7765939;1,35411591;1,75410753;2,507780458;1,278043698;1,351269803;1,996288249;1,523576839;1,697382671;2,33738645;1,793744977
2014;2,093068219;8041727;1,520562117;1,729079565;2,474893617;1,354551282;1,396075372;2,136605278;1,503715339;1,676827229;3,020293311;1,740163428
2015;1,807045337;7964797;1,501508197;1,833831191;2,384946237;1,419035888;1,367771356;2,2468;1,516224189;1,620872947;2,384796999;1,880763964
