Jahr;Saisonalitätskoeffizient November-Oktober;Maximum der monatlichen Übernachtungen;Minimum der monatlichen Übernachtungen;Übernachtungen im Winterhalbjahr;Übernachtungen im Sommerhalbjahr;Summe der Übernachtungen insgesamt
1993;2,241749641;690293;307926;2215949;3796853;6012802
1994;2,072663319;785471;378967;2650201;4459222;7109423
1995;1,89768463;867796;457292;3148818;4761290;7910108
1996;1,96879918;904488;459411;3175936;4858532;8034468
1997;2,071723629;848087;409363;2964022;4731691;7695713
1998;2,29065262;950630;415004;2933027;5025673;7958700
1999;2,250992207;1061739;471676;3310925;5591741;8902666
2000;1,989723488;1030438;517880;3552788;5656088;9208876
2001;1,793958119;945276;526922;3611807;5414728;9026535
2002;1,866011615;925051;495737;3486010;5176717;8662727
2003;2,189326359;1027094;469137;3327755;5300781;8628536
2004;2,237441044;1038911;464330;3319598;5225255;8544853
2005;2,187017197;1126795;515220;3358085;5498203;8856288
2006;2,093679097;1074116;513028;3387682;5291667;8679349
2007;2,391102369;1213176;507371;3441116;5636531;9077647
2008;2,316119503;1220009;526747;3555302;5651851;9207153
2009;2,208039349;1185132;536735;3631549;5783165;9414714
2010;2,007821854;1083248;539514;3676835;5741006;9417841
2011;2,127929657;1142262;536795;3615316;5818223;9433539
2012;2,070092188;1150373;555711;3791151;5868109;9659260
2013;2,114126005;1128197;533647;3754341;5793291;9547632
2014;2,543773321;1310987;515371;3737975;6021640;9759615
2015;2,167961151;1161173;535606;3836854;5931659;9768513
