Jahr;Gesamteinschlag;Abiotische Schäden im Winter (Wind/Sturm/Schneelast);Abiotische Schäden im Sommer (Unwetter/Wasser/Trockenheit);Holz- und rindenbrütende Insekten;Pilze am Holz;Komplexschäden
1993;775,4;8,541346402;2,55620325;9,340366263;1,029290689;0,678679391
1994;1004,4;5,830847471;1,371107129;6,200151334;0,925080844;0,401314217
1995;1070,9;2,243660472;0,278559716;5,397236717;0,681516481;0,269882902
1996;1169,4;0,811493073;1,280861981;4,375687361;0,685206089;0,479425346
1997;1307,6;7,51397981;11,31954726;1,623982869;0,552278984;0,343609667
1998;1450,9;3,21521814;0,421696878;3,080528224;3,671392929;0,372320629
1999;1448,9;2,958934364;2,452629167;2,112118159;5,463190006;0,349230451
2000;1310;2,650299237;0,486625954;2,631424733;5,171122443;0,649465649
2001;1613;0,541802852;0,164265344;1,12150279;4,551768878;0,57900062
2002;1870;3,13622246;1,012416257;0,839657754;4,252780321;0,272385027
2003;2233;5,864827586;0,165026422;15,01939919;4,956489028;0,311365876
2004;2519;1,215885669;0,288689162;12,93626677;5,276824137;0,252455736
2005;2727;0,980294243;1,532814081;4,715646498;4,776824349;0,227540887
2006;2977;3,613006382;0,3400739;7,029962781;4,737767417;0,221162244
2007;4931;48,37160819;1,471482458;3,859306429;5,037436625;0,164829852
2008;2389;12,70534952;0,582637087;13,40329175;6,584244454;0,514323985
2009;2201;0,952348932;0,120545207;7,767789187;5,685233985;0,359981826
2010;2401;9,994435652;2,209046231;1,763765098;3,343673469;0,298309038
2011;2756;17,49956459;3,911465893;1,03701016;3,203918723;0,194716981
2012;2576;2,497484472;1,063881988;1,524596273;3,002546584;0,191024845
2013;2503;1,959792249;2,045609269;3,784035158;2,869964043;0,209860168
2014;2545;1,47988998;0,694475442;3,487559921;2,109516699;0,168958743
2015;2524,6;6,297045076;3,249401885;2,167693892;2,123457181;0,192188862
