Jahr;RR_2.1;RR_2.2;RR_2.3;RR_2.4;RR_2.5
1961;796;272,9;225;115,5;189,6
1962;561,8;158,4;161,9;75,3;99,6
1963;591,7;119,8;266,3;153,1;67,2
1964;492;140,7;132,6;133,7;170,5
1965;864,9;203,9;233,1;166,4;224,3
1966;905,6;201,8;290,7;188,5;206,3
1967;725,2;194,1;193,9;158,7;218,1
1968;722,9;165,9;227,7;176,1;121,2
1969;728,8;228,7;253,7;116,5;182,5
1970;837,1;216,7;236,3;188,8;112,7
1971;538,7;138;179,2;125,7;48,4
1972;653,3;198,4;301;131,9;87,7
1973;612,8;137,6;168,5;167,5;147,2
1974;819;124,4;248,3;226,6;189,6
1975;583,1;175,3;205,1;121,5;161,5
1976;498,6;92,9;110,8;125,1;144,1
1977;820,8;158;288,1;204,1;106,3
1978;644,3;160,3;193,9;138,9;176,8
1979;705,9;201,1;191,8;146,6;180,2
1980;733,7;174,9;254,3;163,2;155,8
1981;948,8;225,1;265,1;248,8;164,9
1982;504,4;140,5;124,4;116,4;172,6
1983;681,3;268,9;149,2;122,5;183,1
1984;796;197,4;213,2;202;103
1985;613,1;150,7;218,5;105,4;181
1986;790;228,4;197,3;156,4;241,9
1987;821,7;187,5;272,2;166,5;197,3
1988;731;167,5;148;156,6;174,1
1989;633,3;157;161,5;168,3;197,6
1990;644,6;95,1;195,6;181,5;124,7
1991;503,2;93,5;154,2;115,3;138,4
1992;728,3;160,3;275,6;173,6;174
1993;788,3;122,5;246,5;151,6;263,2
1994;832,8;269,4;220,9;161;232,9
1995;844,1;221,9;228,2;180,7;95,5
1996;670,7;144,4;234,1;199,7;147,6
1997;669,9;143,1;233,1;106,2;155,5
1998;827,9;165,8;202,5;354;151,7
1999;753,6;167,2;237,2;141,5;252,8
2000;762,4;197;203,1;158,6;130,7
2001;795,5;200,5;204,8;223,5;221
2002;916,7;178,4;236,2;268;181,8
2003;534,4;123;122,7;149;167,7
2004;749,1;174,6;233,2;177,6;192,2
2005;701,3;149,6;203,4;134,1;143,7
2006;693,8;240,3;202,1;136,6;182,2
2007;948,1;192,6;312,9;243,1;147,5
2008;682,2;182,3;174,9;175;149,8
2009;824,3;197,1;203,2;232,6;179,6
2010;842,4;172;282,1;213,6;171
2011;611;71;254,3;110,8;214,7
2012;696,4;90,2;249,1;142,6;203
2013;761,9;256,9;151,3;214,7;87
2014;668,1;135,4;276,3;137,6;142,1
2015;593,8;108,7;199,4;176,6;161,7
