Jahr;erzeugte Arbeit je installierter Leistung (2001 - 2014);erzeugte Arbeit je installierter Leistung (2002 - 2014);Jahresmittel der Globalstrahlung  (1961 - 2015);Jahresmittel der Globalstrahlung (2002 - 2015);Jahresmittel der Globalstrahlung (2001 - 2015)
1961;;;918;;
1962;;;952;;
1963;;;977;;
1964;;;1024;;
1965;;;929;;
1966;;;920;;
1967;;;980;;
1968;;;957;;
1969;;;969;;
1970;;;925;;
1971;;;1017;;
1972;;;935;;
1973;;;996;;
1974;;;913;;
1975;;;980;;
1976;;;1037;;
1977;;;881;;
1978;;;885;;
1979;;;917;;
1980;;;920;;
1981;;;898;;
1982;;;1027;;
1983;;;972;;
1984;;;887;;
1985;;;951;;
1986;;;942;;
1987;;;892;;
1988;;;940;;
1989;;;1013;;
1990;;;1000;;
1991;;;991;;
1992;;;983;;
1993;;;954;;
1994;;;979;;
1995;;;961;;
1996;;;899;;
1997;;;994;;
1998;;;911;;
1999;;;972;;
2000;;;961;;
2001;500;;928;;928
2002;666,6666667;666,6666667;921;921;921
2003;750;750;1096;1096;1096
2004;571,4285714;571,4285714;974;974;974
2005;562,5;562,5;1013;1013;1013
2006;750;750;1033;1033;1033
2007;622,6415094;622,6415094;1005;1005;1005
2008;568,4210526;568,4210526;968;968;968
2009;572,327044;572,327044;965;965;965
2010;541,2844037;541,2844037;955;955;955
2011;730,1927195;730,1927195;1061;1061;1061
2012;594,3848974;594,3848974;989;989;989
2013;716,5428561;716,5428561;924;924;924
2014;842,4297567;842,4297567;972;972;972
2015;;;1022;1022;1022
