Jahr;Westthüringen ;Nordthüringen;Thüringer Becken;Südthüringen;Ostthüringen;Oberland/Schiefergebirge/Th. Vogtland;Thüringer Wald;Thüringen gesamt
1961;254;263;254;;254;252;;255,4
1962;202;210;194;;227;202;;207
1963;235;235;236;;266;234;;241,2
1964;203;209;203;;203;202;;204
1965;224;225;219;;225;210;;220,6
1966;247;247;247;;207;205;;230,6
1967;254;259;254;;256;217;;248
1968;230;234;233;;233;226;;231,2
1969;228;228;228;;228;209;;224,2
1970;240;241;201;;200;182;;212,8
1971;218;237;216;;218;192;;216,2
1972;241;249;242;;244;239;;243
1973;243;245;244;;244;163;;227,8
1974;264;231;265;;265;228;;250,6
1975;259;259;259;;249;205;;246,2
1976;232;256;234;;234;228;;236,8
1977;262;277;276;;276;249;;268
1978;251;252;253;;254;219;269;249,6666667
1979;215;219;195;209;240;209;161;206,8571429
1980;198;214;198;198;214;174;144;191,4285714
1981;240;248;243;240;240;239;202;236
1982;236;249;237;222;213;176;172;215
1983;237;237;237;203;215;204;190;217,5714286
1984;204;229;205;204;204;203;203;207,4285714
1985;205;224;205;208;205;206;205;208,2857143
1986;219;241;222;215;223;215;186;217,2857143
1987;235;235;235;213;235;212;192;222,4285714
1988;209;213;209;196;209;192;192;202,8571429
1989;253;250;253;228;253;227;172;233,7142857
1990;279;279;279;255;279;253;228;264,5714286
1991;236;234;234;232;232;218;217;229
1992;249;242;242;187;284;186;147;219,5714286
1993;244;245;244;229;244;214;178;228,2857143
1994;246;266;266;265;266;219;162;241,4285714
1995;211;257;211;211;211;211;181;213,2857143
1996;217;221;217;215;217;214;206;215,2857143
1997;243;244;243;239;243;227;158;228,1428571
1998;230;271;224;224;229;223;182;226,1428571
1999;256;256;256;225;255;220;194;237,4285714
2000;249;269;268;248;267;241;210;250,2857143
2001;219;241;220;219;220;217;189;217,8571429
2002;237;271;215;229;238;215;151;222,2857143
2003;208;208;208;208;208;207;204;207,2857143
2004;245;250;250;235;250;233;190;236,1428571
2005;239;236;236;237;236;235;231;235,7142857
2006;216;271;216;216;268;216;190;227,5714286
2007;249;288;242;242;248;218;188;239,2857143
2008;269;271;269;210;269;210;184;240,2857143
2009;251;284;251;250;254;191;189;238,5714286
2010;246;247;248;247;247;245;175;236,4285714
2011;245;243;243;241;245;242;221;240
2012;221;238;225;220;225;214;213;222,2857143
2013;215;214;224;212;224;212;191;213,1428571
2014;261;279;257;263;257;259;258;262
2015;224;242;224;238;238;222;180;224
