Jahr; Mittlere Anzahl von Meldetagen; Mittlere Anzahl von Meldetagen (Abweichung vom Mittel);Waldbrandanzahl;Waldbrandfläche
1961;20;1,811111111;;
1962;13,5;-4,688888889;;
1963;15,83333333;-2,355555556;;
1964;33,33333333;15,14444444;;
1965;4,333333333;-13,85555556;;
1966;9,666666667;-8,522222222;;
1967;12,83333333;-5,355555556;;
1968;13;-5,188888889;;
1969;13,16666667;-5,022222222;;
1970;9;-9,188888889;;
1971;27,5;9,311111111;;
1972;4,5;-13,68888889;;
1973;27;8,811111111;;
1974;12,16666667;-6,022222222;;
1975;26,33333333;8,144444444;;
1976;53,5;35,31111111;;
1977;7,333333333;-10,85555556;;
1978;5,5;-12,68888889;;
1979;13,33333333;-4,855555556;;
1980;6,833333333;-11,35555556;;
1981;4,833333333;-13,35555556;;
1982;41,5;23,31111111;;
1983;30,83333333;12,64444444;;
1984;7,5;-10,68888889;;
1985;11,33333333;-6,855555556;;
1986;13,5;-4,688888889;;
1987;3,666666667;-14,52222222;;
1988;35,5;17,31111111;;
1989;32,5;14,31111111;;
1990;35,83333333;17,64444444;;
1991;48,83333333;30,64444444;;
1992;34;15,81111111;;
1993;20,16666667;1,977777778;48;15,4
1994;28,33333333;10,14444444;24;10,83
1995;21,16666667;2,977777778;14;1,5859
1996;8,333333333;-9,855555556;24;10,1
1997;26,16666667;7,977777778;33;3,804
1998;15,83333333;-2,355555556;23;7,8107
1999;24,83333333;6,644444444;14;0,3032
2000;23;4,811111111;39;6,0918
2001;26;7,811111111;12;1,0915
2002;19,5;1,311111111;15;0,6192
2003;62,66666667;44,47777778;90;17,5374
2004;24,33333333;6,144444444;34;18,43
2005;24,16666667;5,977777778;16;1,0929
2006;35,66666667;17,47777778;27;9,9484
2007;28,16666667;9,977777778;20;7,335
2008;35,16666667;16,97777778;22;1,2671
2009;22,5;4,311111111;17;2,8387
2010;19,33333333;1,144444444;20;1,128
2011;39,83333333;21,64444444;27;6,7969
2012;36,66666667;18,47777778;27;7,0148
2013;30,5;12,31111111;10;1,1267
2014;18,83333333;0,644444444;11;0,44
2015;40,66666667;22,47777778;43;5,5661
