Jahr;TS Leibis;TS Schönbrunn;TS Scheibe-Alsbach;TS Ohra;TS Neustadt (Harz);Mittelwert
1976;;;;;;
1977;;;;;;
1978;;;;;;
1979;;;;;;
1980;;;;;;
1981;;;;;;
1982;;;;;;
1983;;;;;;
1984;;;;;;
1985;;;;;;
1986;;;;;;
1987;;;;;;
1988;;;;;;
1989;;;;;;
1990;;;;;;
1991;;;;;;
1992;;;;;;
1993;;16,30000019;;;;
1994;;19,19999981;16,69999981;;;
1995;;18,94999981;18,75;17,89999962;;
1996;;16,29999971;16,25;15,92500019;;
1997;;19,30000019;17,10000038;17,67499971;;
1998;;17,14999962;14,22500014;;;
1999;;19,05000019;16,7249999;17,7249999;;
2000;;17;16,37499976;17,19999981;16,54999987;16,78124986
2001;;17,5;15,82500005;18,67500019;17,4749999;17,36875004
2002;;18,5;17,47500014;17,72500038;16,34999967;17,51250005
2003;;20,80000019;19,49166663;19,7750001;18,95000029;19,7541668
2004;;17,45000076;16,92500019;17,62499976;17,04999995;17,26250017
2005;17,4333334;18,69999981;17,00000048;18,25;17,04999995;17,68666673
2006;17,76666673;17,80000019;17,32499981;19,625;17,95000029;18,0933334
2007;17,32499997;16,84999975;15,97500038;16,94999949;16,9000001;16,79999994
2008;18,94999997;18,25;17,14166641;18,5999999;18,21666654;18,23166656
2009;18,92500019;18,35833343;18,92499971;18,05000019;16,7833333;18,20833337
2010;18,24999976;18,67500019;15,6833334;18,79999971;17,23500009;17,72866663
2011;18,1500001;17,75;17,125;17,71249986;16,89999986;17,52749996
2012;18,57500076;17,69999981;18,0999999;17,25666644;17,06500015;17,73933341
2013;18,95000029;18,82500029;15,875;17,68333308;15,485;17,36366673
2014;17,57500029;;17,17500019;17,74166695;15,0125;16,87604186
2015;19,07500013;19,54999971;16,5250001;19,54999971;17,71666686;18,4833333
